was_resized,resize_factor,width,height,aspect_ratio,avg_r,std_r,avg_g,std_g,avg_b,std_b,avg_h,std_h,avg_s,std_s,avg_v,std_v,text_block_count,text_area_ratio,text_center_x_norm,text_center_y_norm,text_x_spread,text_y_spread,avg_text_height_ratio,max_text_height_ratio,avg_text_confidence,edge_density,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,hog_mean,hog_std,hog_max,global_contrast,text_density,hist_r_0,hist_r_1,hist_r_2,hist_r_3,hist_g_0,hist_g_1,hist_g_2,hist_g_3,hist_b_0,hist_b_1,hist_b_2,hist_b_3,image_name,attention_score
0,1.0,299,146,2.047945205479452,148.94816053511707,75.60114206616345,142.80008704815137,78.32069852514209,169.9570027947038,66.90293190497133,93.91391395977459,53.59380238614259,49.82143675264581,41.11770616516838,170.23544234205343,66.99056936895924,0,0,0.5,0.5,0,0,0,0,0,0.11689650432950016,0.04166857561735465,0.033559353094790856,0.015920648737801805,0.008933889219773675,0.009140055894076144,0.008842259586750355,0.005818481696980803,0.008040500297796307,0.007903055848261328,0.009735648508727723,0.14150394228417335,0.08805913973480699,0.29777221169109486,0.5138811022810491,0,0.06324735,0.020547945,0.06398039,0.4400742,0.064278185,0.021716222,0.16960645,0.38598981,0.061460577,0.017455446,0.01493563,0.020983186,1.png,1
0,1.0,147,72,2.0416666666666665,145.3522297808012,55.15740110941123,129.3167044595616,49.50089175793728,135.41732804232805,25.341361178126647,99.50907029478458,48.54415582870963,93.51039304610732,34.15392005021363,168.96362433862433,41.79137007281931,0,0,0.5,0.5,0,0,0,0,0,0.14512471655328799,0.06812169312169312,0.04242252456538171,0.023809523809523808,0.015306122448979591,0.012188208616780046,0.00973167044595616,0.00973167044595616,0.013038548752834467,0.011999244142101285,0.011810279667422525,0.15303364095436342,0.06601880421667351,0.24298946011859265,0.3242890723174421,0,0.0,0.0004724112,0.07936508,0.48922902,0.0,0.0004724112,0.31982237,0.375,0.0,0.016345426,0.0728458,0.2020975,2.png,2
0,1.0,102,72,1.4166666666666667,147.21173747276688,68.14873014998344,141.02219498910677,70.58917105734623,166.03540305010893,57.62431715388851,113.32693355119825,36.601684159317266,52.279411764705884,40.936538654844774,167.9873366013072,57.49293295387124,0,0,0.5,0.5,0,0,0,0,0,0.2162309368191721,0.0721677559912854,0.051606753812636165,0.020561002178649236,0.013071895424836602,0.013616557734204794,0.013071895424836602,0.01184640522875817,0.0164760348583878,0.010212418300653595,0.011574074074074073,0.15514613519501294,0.060888870149619675,0.23375970617459482,0.4666721631397652,0,0.012663399,0.049836602,0.15604575,0.34191176,0.013888889,0.060729846,0.37200436,0.12962963,0.0050381264,0.03567538,0.04493464,0.121323526,3.png,1
0,1.0,291,130,2.2384615384615385,45.37655300026434,82.33126658269661,35.86968014803066,73.71289897725661,39.970896114195085,75.08745011029559,70.05189003436426,70.20198966852418,75.40219402590536,91.21113588240412,46.348215701823946,82.13990276077814,0,0,0.5,0.5,0,0,0,0,0,0.06365318530266983,0.030187681734073487,0.024610097805974094,0.01387787470261697,0.011208035950303992,0.00901401004493788,0.009172614327253503,0.006529209621993127,0.010970129526830557,0.01612476870208829,0.02175522072429289,0.12328704603178908,0.11215204879543365,0.5599221807693109,1.9165680537278684,0,0.7917526,0.012397568,0.012741211,0.012794078,0.807798,0.04388052,0.00914618,0.010362146,0.8026963,0.010732223,0.01319059,0.042215172,4.png,4
0,1.0,770,342,2.2514619883040936,115.14276220855169,69.44702638077973,125.25671375408217,55.49216931326969,119.30536948431686,50.73713776123098,86.36986405407458,38.11634093597434,124.67655122655123,48.176724327540306,155.27259436469961,60.64344160748542,0,0,0.5,0.5,0,0,0,0,0,0.043065998329156224,0.06548948127895496,0.028377762588288905,0.025787954735323155,0.02060074428495481,0.0158160552897395,0.012060454165717324,0.009451659451659452,0.00909850383534594,0.008992177413230044,0.009280777701830334,0.12631871089896388,0.10872608263863641,0.637933518045833,0.44041564051454196,0,0.09532923,0.019867852,0.359239,0.31158578,0.09488874,0.018291943,0.02274626,0.516435,0.100626566,0.023889268,0.21376167,0.022150071,5.png,1
0,1.0,1052,284,3.704225352112676,81.88064652171585,71.21770363492281,33.01961053392599,42.696189231128876,28.37918384833717,42.156504183863674,24.59508046377122,49.500140071638434,134.26923231403632,89.19279174427459,81.96132785304985,71.15841975684106,0,0,0.5,0.5,0,0,0,0,0,0.05194666095431907,0.05467118299148503,0.02940073903497028,0.02052428640282761,0.013515503668398222,0.009800246344990092,0.007544315321587319,0.006506720933968832,0.008207036898195255,0.009043806565629519,0.011433620735821775,0.14418424113283262,0.08359833958378476,0.4707693166720149,0.9700986275930198,0,0.4333128,0.08588269,0.047116827,0.053553257,0.6796344,0.23295668,0.01882397,0.0101818135,0.84800243,0.06923767,0.016233332,0.010017807,6.png,3
0,1.0,816,230,3.5478260869565217,92.73378090366582,71.67116993384448,74.85471014492754,67.2788882766192,87.80887148337595,70.27211605848869,94.8177642796249,59.11689057941941,116.37614556692242,79.59965688488826,106.67852195225916,69.66299947959446,0,0,0.5,0.5,0,0,0,0,0,0.15266410912190964,0.0673113810741688,0.03331734867860187,0.027434995737425406,0.0154038789428815,0.009041986359761296,0.007358269394714408,0.0068414322250639386,0.008541133844842284,0.008328005115089514,0.00907928388746803,0.15032882079590418,0.07196543205589051,0.42436166949574095,0.8169742882951452,0,0.26479647,0.14598785,0.16900043,0.09946185,0.38716966,0.14257246,0.12979007,0.09750107,0.31882992,0.1539269,0.09818308,0.10523231,7.png,1
0,1.0,672,178,3.7752808988764044,142.476817482611,95.378103753005,139.75535881487426,95.91735058162301,148.6287787586945,88.64853921893709,92.77920177902622,52.206456250055446,50.7639028223649,53.88394857365065,151.61453317281968,87.66840044047018,0,0,0.5,0.5,0,0,0,0,0,0.0684022204387373,0.021995385232744784,0.024143927233814873,0.011269395398608882,0.009580658105939005,0.008376805778491172,0.00912085339753879,0.008276484751203851,0.011202514713750668,0.014964553237025148,0.019529159978598182,0.1156430759161091,0.12001856840386371,0.4760891298861383,0.6689297328656465,0,0.104016185,0.2304374,0.09364968,0.09674291,0.06370385,0.29953352,0.12650481,0.051372726,0.011177435,0.20791534,0.22308053,0.09765416,8.png,4
0,1.0,872,164,5.317073170731708,237.92507412172745,14.178822940547706,176.89455834638622,65.09309837163998,143.1026585925263,90.65206192998404,26.48088918102484,36.101139922697676,107.01611797941374,86.65198674230646,238.1865629894831,14.454653230847798,0,0,0.5,0.5,0,0,0,0,0,0.03040389348847617,0.021691094204520027,0.015719400313269186,0.011544808682031775,0.008796710673528753,0.006216435444170955,0.006356287760125308,0.004643096889684493,0.006649977623629447,0.009167319310807788,0.011027355113000672,0.10456985632044263,0.12978028708995804,0.5817844610454452,0.27467951223182774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.010055382,0.36474183,0.0,0.3569031,0.18426242,0.01874021,9.png,1
0,1.0,742,278,2.6690647482014387,206.46248715313465,63.229168972730434,190.33410576121312,65.00263674602621,174.67604083848823,75.8241275639706,45.36735247920262,44.229661385089514,76.65651845100739,69.16384773149983,219.23432197638115,44.89516181439971,0,0,0.5,0.5,0,0,0,0,0,0.05146987531268785,0.02828249529756249,0.014684209505710795,0.013472241075064477,0.012643254668502395,0.012260272644418159,0.01166398417654017,0.01095619461304272,0.013753417750974422,0.01679303457503539,0.019958696115883575,0.12328832057095913,0.11215064770659916,0.5257118590382652,0.3209645065013125,0,0.0013186217,0.06388043,0.03873451,0.040159784,0.0070488085,0.024956854,0.0630466,0.12297116,0.019716302,0.061364386,0.11484128,0.12275786,10.png,4
0,1.0,354,120,2.95,183.05449623352166,49.77606842437086,45.30456685499058,15.17847177779054,39.087900188323914,13.431564158408731,3.500376647834275,20.18237003232747,203.6733757062147,17.408701235807396,183.05449623352166,49.77606842437086,0,0,0.5,0.5,0,0,0,0,0,0.07617702448210922,0.03333333333333333,0.01713747645951036,0.012923728813559321,0.009369114877589454,0.00826271186440678,0.008427495291902072,0.008027306967984935,0.01245291902071563,0.014077212806026366,0.018173258003766478,0.13002001313709174,0.10427163543183951,0.38001772362092634,0.2900659643104802,0,0.0230226,0.03891243,0.036393598,0.041666668,0.13250941,0.86654896,0.00094161957,0.0,0.14298493,0.8566855,0.00032956686,0.0,11.png,4
0,1.0,696,186,3.7419354838709675,90.46466753182548,100.84323213826393,98.70412340872575,97.7080766823912,103.93516716104314,95.37468624002392,68.15037541713015,46.182223154156915,92.7396026449141,86.98145197998024,106.76032783339512,94.07808343471937,0,0,0.5,0.5,0,0,0,0,0,0.07924700284266468,0.04940674823878383,0.024541156840934372,0.018121987393400076,0.01592046718576196,0.014159251019651464,0.013309541465826226,0.011339760227413176,0.012343962427388456,0.01278426646891608,0.014800395501174145,0.13500256495753524,0.09773476979386077,0.4004478130780523,1.0136722191953313,0,0.4893632,0.11327401,0.049723458,0.036630206,0.40905792,0.12561025,0.08840842,0.051307008,0.3045359,0.1965919,0.10282258,0.05668335,12.png,1
0,1.0,552,322,1.7142857142857142,84.63790057610946,102.92068000968148,83.68176703573678,101.96527538248061,83.34967706364209,102.13222420294268,39.1698060131425,47.951985553790166,31.633754163291027,46.511224414997784,85.66433747412009,102.40873982026288,0,0,0.5,0.5,0,0,0,0,0,0.08947700063011972,0.057835988837879194,0.028057205869115132,0.021913538572328743,0.01848726257989018,0.014745926726077954,0.01311999279863174,0.010520748942299037,0.011814744801512287,0.012349221352056891,0.013474435142677108,0.1392913562073563,0.09151882788725277,0.45734210391012486,1.2164274467588418,0,0.5996771,0.04227428,0.018279098,0.016411243,0.59743226,0.05080903,0.01870668,0.0176321,0.60088104,0.0477597,0.018498514,0.017457692,13.png,1
0,1.0,544,454,1.198237885462555,117.03900783881835,81.59946171356668,126.47405011013215,89.77586730724192,130.57234711065044,93.38240746414274,78.73041105208603,42.01918796898244,24.21604528375227,26.230497068918286,130.87449792692408,93.0783540863503,0,0,0.5,0.5,0,0,0,0,0,0.04435653666753045,0.05329667660015548,0.03143220393884426,0.01913546255506608,0.012029508940139932,0.007344843223633065,0.006454068411505571,0.003546903342834931,0.0047858901269759,0.0029395568800207306,0.003640029800466442,0.11194648357013506,0.12347373237170799,0.5041354985818827,0.706591476902693,0,0.08590713,0.37313342,0.0086202705,0.010507094,0.075412184,0.38123542,0.010122441,0.009349086,0.08646184,0.36959058,0.010158882,0.009049462,14.png,2
0,1.0,766,250,3.064,51.2896135770235,53.98361760690929,41.29590078328982,51.78465440922228,44.034762402088774,53.97815734560208,51.44567101827676,62.873034470314444,117.45426631853786,74.86095338593242,60.52327937336815,57.79137066504762,0,0,0.5,0.5,0,0,0,0,0,0.09891383812010444,0.040511749347258486,0.022976501305483028,0.019530026109660575,0.016657963446475195,0.014428198433420365,0.013592689295039165,0.012140992167101827,0.013702349869451697,0.014574412532637075,0.017629242819843342,0.1358363632767755,0.09657256433947455,0.4575705942385208,1.144452083812438,0,0.5246893,0.20960313,0.10363446,0.06520627,0.63236034,0.1565953,0.07801045,0.056553524,0.6164125,0.13415143,0.092,0.05999478,15.png,1
